Date,,,,Fear Greed
2020-07-14,,,,50
2020-07-15,,,,50
2020-07-16,,,,50
2020-07-17,,,,50
2020-07-20,,,,50
2020-07-21,,,,50
2020-07-22,,,,50
2020-07-23,,,,50
2020-07-24,,,,50
2020-07-27,,,,50
2020-07-28,,,,50
2020-07-29,,,,50
2020-07-30,,,,50
2020-07-31,,,,50
2020-08-03,,,,50
2020-08-04,,,,50
2020-08-05,,,,50
2020-08-06,,,,50
2020-08-07,,,,50
2020-08-10,,,,50
2020-08-11,,,,50
2020-08-12,,,,50
2020-08-13,,,,50
2020-08-14,,,,50
2020-08-17,,,,50
2020-08-18,,,,50
2020-08-19,,,,50
2020-08-20,,,,50
2020-08-21,,,,50
2020-08-24,,,,50
2020-08-25,,,,50
2020-08-26,,,,50
2020-08-27,,,,50
2020-08-28,,,,50
2020-08-31,,,,50
2020-09-01,,,,50
2020-09-02,,,,50
2020-09-03,,,,2
2020-09-04,,,,3
2020-09-08,,,,3
2020-09-09,,,,50
2020-09-10,,,,50
2020-09-11,,,,50
2020-09-14,,,,50
2020-09-15,,,,50
2020-09-16,,,,50
2020-09-17,,,,50
2020-09-18,,,,50
2020-09-21,,,,50
2020-09-22,,,,50
2020-09-23,,,,50
2020-09-24,,,,50
2020-09-25,,,,50
2020-09-28,,,,50
2020-09-29,,,,50
2020-09-30,,,,50
2020-10-01,,,,50
2020-10-02,,,,50
2020-10-05,,,,50
2020-10-06,,,,50
2020-10-07,,,,50
2020-10-08,,,,50
2020-10-09,,,,50
2020-10-12,,,,50
2020-10-13,,,,50
2020-10-14,,,,50
2020-10-15,,,,50
2020-10-16,,,,50
2020-10-19,,,,50
2020-10-20,,,,50
2020-10-21,,,,50
2020-10-22,,,,50
2020-10-23,,,,50
2020-10-26,,,,2
2020-10-27,,,,2
2020-10-28,,,,0
2020-10-29,,,,1
2020-10-30,,,,1
2020-11-02,,,,2
2020-11-03,,,,3
2020-11-04,,,,50
2020-11-05,,,,50
2020-11-06,,,,50
2020-11-09,,,,50
2020-11-10,,,,50
2020-11-11,,,,50
2020-11-12,,,,50
2020-11-13,,,,50
2020-11-16,,,,50
2020-11-17,,,,50
2020-11-18,,,,50
2020-11-19,,,,50
2020-11-20,,,,50
2020-11-23,,,,50
2020-11-24,,,,50
2020-11-25,,,,50
2020-11-27,,,,50
2020-11-30,,,,50
2020-12-01,,,,50
2020-12-02,,,,50
2020-12-03,,,,50
2020-12-04,,,,50
2020-12-07,,,,50
2020-12-08,,,,50
2020-12-09,,,,50
2020-12-10,,,,50
2020-12-11,,,,50
2020-12-14,,,,50
2020-12-15,,,,50
2020-12-16,,,,50
2020-12-17,,,,50
2020-12-18,,,,50
2020-12-21,,,,50
2020-12-22,,,,50
2020-12-23,,,,50
2020-12-24,,,,50
2020-12-28,,,,50
2020-12-29,,,,50
2020-12-30,,,,50
2020-12-31,,,,50
2021-01-04,,,,50
2021-01-05,,,,50
2021-01-06,,,,50
2021-01-07,,,,50
2021-01-08,,,,50
2021-01-11,,,,50
2021-01-12,,,,50
2021-01-13,,,,50
2021-01-14,,,,50
2021-01-15,,,,50
2021-01-19,,,,50
2021-01-20,,,,50
2021-01-21,,,,50
2021-01-22,,,,68
2021-01-25,,,,69
2021-01-26,,,,67
2021-01-27,,,,28
2021-01-28,,,,52
2021-01-29,,,,40
2021-02-01,,,,43
2021-02-02,,,,60
2021-02-03,,,,59
2021-02-04,,,,61
2021-02-05,,,,68
2021-02-08,,,,72
2021-02-09,,,,75
2021-02-10,,,,75
2021-02-11,,,,76
2021-02-12,,,,77
2021-02-16,,,,73
2021-02-17,,,,70
2021-02-18,,,,62
2021-02-19,,,,56
2021-02-22,,,,52
2021-02-23,,,,50
2021-02-24,,,,63
2021-02-25,,,,46
2021-02-26,,,,53
2021-03-01,,,,58
2021-03-02,,,,50
2021-03-03,,,,43
2021-03-04,,,,37
2021-03-05,,,,41
2021-03-08,,,,39
2021-03-09,,,,43
2021-03-10,,,,45
2021-03-11,,,,50
2021-03-12,,,,53
2021-03-15,,,,56
2021-03-16,,,,54
2021-03-17,,,,57
2021-03-18,,,,52
2021-03-19,,,,50
2021-03-22,,,,50
2021-03-23,,,,41
2021-03-24,,,,37
2021-03-25,,,,37
2021-03-26,,,,37
2021-03-29,,,,39
2021-03-30,,,,42
2021-03-31,,,,44
2021-04-01,,,,46
2021-04-05,,,,54
2021-04-06,,,,53
2021-04-07,,,,52
2021-04-08,,,,48
2021-04-09,,,,47
2021-04-12,,,,43
2021-04-13,,,,43
2021-04-14,,,,39
2021-04-15,,,,47
2021-04-16,,,,51
2021-04-19,,,,45
2021-04-20,,,,42
2021-04-21,,,,49
2021-04-22,,,,46
2021-04-23,,,,47
2021-04-26,,,,50
2021-04-27,,,,54
2021-04-28,,,,52
2021-04-29,,,,56
2021-04-30,,,,46
2021-05-03,,,,47
2021-05-04,,,,43
2021-05-05,,,,43
2021-05-06,,,,43
2021-05-07,,,,48
2021-05-10,,,,44
2021-05-11,,,,42
2021-05-12,,,,26
2021-05-13,,,,34
2021-05-14,,,,36
2021-05-17,,,,36
2021-05-18,,,,34
